City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
10,Hilo,US,84.2,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
11,Nisia Floresta,BR,78.8,scattered clouds,-6.09,-35.21,Rancho Crepusculo
13,Airai,TL,82.31,overcast clouds,-8.93,125.41,Juvinal Martin
21,Flinders,AU,80.01,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
22,Broken Hill,AU,77.0,broken clouds,-31.95,141.43,Daydream Motel & Cottages
27,Kavieng,PG,85.87,light rain,-2.57,150.8,Nusa Island Retreat
30,Tual,ID,81.36,overcast clouds,-5.67,132.75,Grand Vilia Hotel
37,Cabo San Lucas,MX,78.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
41,Butaritari,KI,81.7,overcast clouds,3.07,172.79,Isles Sunset Lodge
50,Simpang,ID,84.16,overcast clouds,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
51,Hervey Bay,AU,79.0,broken clouds,-25.3,152.85,Shelly Bay Resort
55,Jalingo,NG,76.86,overcast clouds,8.88,11.37,Debright Motel
56,Biak,ID,84.16,moderate rain,-0.91,122.88,Kost Ariz
61,San Andres,CO,77.0,broken clouds,12.58,-81.7,Hotel Arena Blanca
62,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
66,Atuona,PF,78.35,scattered clouds,-9.8,-139.03,Villa Enata
71,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
75,Sorong,ID,82.53,overcast clouds,-0.88,131.25,The Waigo Hotel
79,Hambantota,LK,80.6,scattered clouds,6.12,81.12,Bungalow 63
86,Gunjur,GM,77.0,clear sky,13.2,-16.73,Kuba Lodge
88,Henderson,US,78.8,clear sky,36.04,-114.98,Hawthorn Suites By Wyndham Las Vegas/Henderson
89,Victoria,HK,75.0,scattered clouds,22.29,114.16,Mini Hotel Central
91,Cockburn Town,TC,81.68,light rain,21.46,-71.14,Osprey Beach Hotel
92,Saint-Georges,GD,82.4,scattered clouds,12.06,-61.75,Siesta Hotel
98,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
108,Wairoa,NZ,76.86,overcast clouds,-39.03,177.37,Wairoa Motel
109,Cayenne,GF,80.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
112,Soyo,AO,77.79,broken clouds,-6.13,12.37,Hotel Mpampa
114,Axim,GH,77.47,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
115,Daru,PG,83.03,light rain,-9.08,143.21,New century hotel
116,Bubaque,GW,83.26,light rain,11.28,-15.83,"Casa Dora, Bubaque"
127,Singaraja,ID,88.41,few clouds,-8.11,115.09,Puri Bagus Lovina Resort
128,Ternate,ID,84.2,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
130,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
131,Hithadhoo,MV,83.39,overcast clouds,-0.6,73.08,Scoop Guest House
133,Zhuhai,CN,80.01,few clouds,22.28,113.57,珠海粤财假日酒店
134,Atar,MR,78.71,clear sky,20.52,-13.05,Oumou Elghoura
137,Bengkulu,ID,83.37,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
139,Carnarvon,AU,86.0,clear sky,-24.87,113.63,Hospitality Carnarvon
141,Poum,NC,77.43,moderate rain,-20.23,164.02,Gîte kajeon
145,Oussouye,SN,78.8,clear sky,12.48,-16.55,Auberge du Routard
154,Bodden Town,KY,78.8,broken clouds,19.28,-81.25,Will T Place
155,Diffa,NE,78.19,clear sky,13.32,12.61,ProDAF/Diffa
157,Buala,SB,86.11,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
165,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
181,Campo Maior,BR,75.54,overcast clouds,-4.83,-42.17,Elite Hotel
183,Faanui,PF,79.59,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
185,Mackay,AU,84.0,clear sky,-21.15,149.2,International Lodge Motel
187,Porto Walter,BR,77.61,overcast clouds,-8.27,-72.74,Hotel Silva
193,Waingapu,ID,90.0,few clouds,-9.66,120.26,Pondok Wisata Elim
197,Letpadan,MM,83.82,light rain,17.78,95.75,ကိုေဇာ္ ပငယ္ ကုန္မ်ိဳးစၤုနွင့္ၾကက္ဥေရာင္းဝယ္ေရး
198,Dwarka,IN,80.71,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
201,Georgetown,MY,80.6,moderate rain,5.41,100.34,Cititel Penang
214,Dingle,PH,84.16,moderate rain,11.0,122.67,SEGAYA PROPERTY
223,Sinjai,ID,86.81,light rain,-5.12,120.25,Wisma Sandika
229,Bembereke,BJ,75.36,overcast clouds,10.23,2.66,Hotel Bio Guera
231,Kampot,KH,86.0,clear sky,10.62,104.18,Champa Lodge
232,Kirakira,SB,84.7,overcast clouds,-10.45,161.92,SanBiz Lodge
237,Saint George,US,75.2,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
240,Ballina,AU,80.01,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
243,Kudus,ID,87.37,moderate rain,-6.8,110.84,@HOM Hotel by Horison
253,Lakatoro,VU,81.09,overcast clouds,-16.1,167.42,Lakatoro Palm Lodge
255,Dondaicha,IN,79.83,clear sky,21.33,74.57,Mahavir Farm House
260,Nago,JP,75.2,few clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
265,Port Macquarie,AU,79.0,clear sky,-31.43,152.92,Rydges Port Macquarie
270,Gizo,SB,85.46,light rain,-8.1,156.84,Imagination Island
271,Harper,LR,78.01,scattered clouds,4.38,-7.72,Screensaver
272,Oranjestad,AW,84.2,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
275,Anuradhapura,LK,84.09,clear sky,8.36,80.42,Nilketha Villa Eco Hotel
278,Bundaberg,AU,80.6,scattered clouds,-24.85,152.35,Takalvan Motel
281,Natal,BR,78.8,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
293,Ixtapa,MX,79.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
294,Sweetwater,US,75.2,few clouds,25.76,-80.37,Courtyard by Marriott Miami at Dolphin Mall
312,Sibu,MY,84.2,few clouds,2.3,111.82,RH HOTEL (4 Star)
319,Biltine,TD,77.67,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
334,Taree,AU,75.0,scattered clouds,-31.9,152.47,All Seasons Country Lodge Taree
340,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
341,Pocone,BR,76.84,clear sky,-16.26,-56.62,Hotel e Churrascaria Pantaneira
342,Urucara,BR,82.87,broken clouds,-2.54,-57.76,Pousada Maria Bonita
343,Isangel,VU,76.87,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
344,Itarema,BR,80.67,broken clouds,-2.92,-39.92,Windvillage
347,Lorengau,PG,85.01,light rain,-2.02,147.27,Lorengau Harbourside Hotel
349,San Pedro,PH,84.2,broken clouds,14.35,121.02,OYO 412 Viewfort Venue
350,Pathein,MM,84.78,light rain,16.78,94.73,Pathein Hotel
368,Tura,IN,75.7,clear sky,25.52,90.22,Hotel RIKMAN Continental
370,Tiarei,PF,84.2,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
376,Mataram,ID,89.6,scattered clouds,-8.58,116.12,Hotel Santika Mataram
378,Padang,ID,78.66,moderate rain,-0.95,100.35,Mercure Padang
379,Geraldton,AU,80.6,few clouds,-28.77,114.6,Broadwater Mariner Resort
383,Teahupoo,PF,84.2,broken clouds,-17.83,-149.27,Vanira Lodge
388,Wichian Buri,TH,86.0,clear sky,15.66,101.11,Mit Sali Hotel
390,Samana,DO,77.58,overcast clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
392,Tete,MZ,80.6,few clouds,-16.16,33.59,Zambeze Paraíso Misterioso
394,Conakry,GN,81.68,clear sky,9.54,-13.68,Riviera Royal Hotel
400,Xapuri,BR,77.31,clear sky,-10.65,-68.5,Restaurante Viana
401,Ca Mau,VN,86.05,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
407,Abu Dhabi,AE,75.2,clear sky,24.47,54.37,Beach Rotana
412,Bhatkal,IN,81.5,few clouds,13.97,74.57,SPOT ON 61793 Chaya Residency SPOT
423,Kokopo,PG,83.77,moderate rain,-4.35,152.26,Kokopo Beach Bungalow Resort
429,Tuy Hoa,VN,79.68,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
430,Sao Filipe,CV,77.58,overcast clouds,14.9,-24.5,Tortuga B&B
432,Lahaina,US,87.8,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
433,Bowen,AU,86.0,clear sky,-20.02,148.23,Castle Motor Lodge Motel
437,Sri Aman,MY,80.6,few clouds,1.24,111.46,Seri Simanggang Hotel
442,Kavaratti,IN,82.36,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
446,Basco,PH,77.65,overcast clouds,20.45,121.97,Nathaniel's Lodge
457,Port Moresby,PG,87.8,scattered clouds,-9.44,147.18,Lamana Hotel
465,Kuntaur,GM,77.04,clear sky,13.67,-14.88,Kairoh Garden Kuntaur
468,Maceio,BR,77.0,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
478,Hinatuan,PH,88.56,scattered clouds,8.37,126.33,CJ's Hometel
480,Madras,IN,80.6,mist,13.09,80.28,"Taj Connemara, Chennai"
488,Jizan,SA,78.8,clear sky,17.33,42.67,شهدان. ابوالحجر
491,Luganville,VU,80.6,overcast clouds,-15.53,167.17,The Espiritu Hotel
496,Celestun,MX,75.47,broken clouds,20.87,-90.4,Posada Lilia
499,Lodwar,KE,79.63,clear sky,3.12,35.6,Turkwel Lodge
501,Atambua,ID,89.64,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
506,Makakilo City,US,86.0,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
519,Tucurui,BR,75.15,overcast clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
526,Djibo,BF,78.8,broken clouds,14.1,-1.63,Centre Des Ressources DPENA
527,Carutapera,BR,76.82,moderate rain,-1.2,-46.02,Lidera
535,Namatanai,PG,87.21,light rain,-3.67,152.43,Namatanai Hotel
538,Porto Novo,BJ,77.79,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
539,Biloela,AU,84.61,clear sky,-24.42,150.5,Silo Motor Inn
540,Les Cayes,HT,75.0,overcast clouds,18.2,-73.75,Villa Orphee
541,Coahuayana,MX,75.83,clear sky,18.73,-103.68,Hotel Los Arcos
544,Sabang,ID,81.61,broken clouds,5.89,95.32,Hotel Citra
547,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
550,Blackwater,AU,84.29,clear sky,-23.58,148.88,Blackwater Motor Inn
561,Phon,TH,80.01,clear sky,15.82,102.6,Baan Kru Tum Chiang Khan
563,Sinnamary,GF,79.29,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
564,Lucea,JM,78.8,broken clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
568,Port Blair,IN,84.22,clear sky,11.67,92.75,Fortune Resort Bay Island
570,Toowoomba,AU,79.0,clear sky,-27.55,151.97,Toowoomba Central Plaza Apartment Hotel
573,Praia,CV,75.2,clear sky,14.92,-23.51,LT Aparthotel
576,Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
577,Catuday,PH,82.42,overcast clouds,16.29,119.81,GResort
579,Cukai,MY,77.0,moderate rain,4.25,103.42,OYO 90038 Dalyla Inn Chalet
580,Umm Lajj,SA,75.25,clear sky,25.02,37.27,Moon light Furnished Units
584,Acapulco,MX,82.4,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
586,Kilindoni,TZ,78.06,few clouds,-7.91,39.67,Bustani B&B
589,Puerto Escondido,MX,78.8,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
590,Sokoto,NG,78.64,overcast clouds,13.06,5.24,RG Palace
591,Teknaf,BD,78.22,light rain,20.86,92.31,Magnum Engineering & Construction
592,Loa Janan,ID,89.65,overcast clouds,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
596,Quelimane,MZ,77.0,few clouds,-17.88,36.89,Hotel Flamingo
598,Road Town,VG,81.0,broken clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
600,Bentiu,SS,75.18,light rain,9.23,29.83,Mandela hôtel
602,Miri,MY,86.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
606,Olinda,BR,80.6,broken clouds,-8.01,-34.86,Hotel 5 Sóis
607,Emerald,AU,87.01,clear sky,-23.53,148.17,The Irish Village
621,Auki,SB,86.99,overcast clouds,-8.77,160.7,Auki Motel
624,Tabou,CI,78.12,light rain,4.42,-7.35,hotêl doufoulougou
628,Dicabisagan,PH,77.88,light rain,17.08,122.42,Nancy Montanes Bernardo
635,Mae Sai,TH,80.01,scattered clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
641,Bambanglipuro,ID,87.62,clear sky,-7.95,110.28,Puri Brata
644,Manaus,BR,86.0,few clouds,-3.1,-60.02,Hotel do Largo
646,Kawalu,ID,89.06,clear sky,-7.38,108.21,KOSAN UNGU UNSIK
650,Mayumba,GA,78.03,moderate rain,-3.43,10.66,LIKWALE LODGE
656,Boa Vista,BR,84.2,few clouds,2.82,-60.67,Aipana Plaza Hotel
661,Mahayag,PH,88.0,overcast clouds,8.12,123.45,Eriberta Spring
666,Vanimo,PG,85.87,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
668,Puerto Madero,MX,78.8,few clouds,14.72,-92.42,Hotel La Central
671,Kribi,CM,77.95,moderate rain,2.95,9.92,Les Vagues bleues
672,Shenzhen,CN,78.01,broken clouds,22.55,114.07,Shun Hing Square
679,Chapada Dos Guimaraes,BR,86.0,clear sky,-15.46,-55.75,Pousada Morro Dos Ventos
688,Baculin,PH,84.7,light rain,7.45,126.58,Shovy's Cove
693,Lalmohan,BD,81.93,broken clouds,22.34,90.74,Sundorbon courier service
699,Batemans Bay,AU,80.01,overcast clouds,-35.72,150.18,Batemans Bay Marina Resort
701,Kulhudhuffushi,MV,81.7,clear sky,6.62,73.07,Haajy Guest House 1
705,Tarakan,ID,82.44,overcast clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
707,Nakhon Thai,TH,82.4,few clouds,17.1,100.84,Phet resort
